id,latitude,longitude,station
555188,42.395,45.107,MTAG
555188,42.395,45.107,SHTA
550384,41.3795,44.0291,AKHA
550384,41.3795,44.0291,EMLK
550384,41.3795,44.0291,TRLT
545120,41.303,44.2353,EMLK
545120,41.303,44.2353,TRLT
542456,41.477,45.9606,ALIA
542456,41.477,45.9606,DALI
542456,41.477,45.9606,DDFN
542456,41.477,45.9606,EMLK
542456,41.477,45.9606,LGDA
542456,41.477,45.9606,LPNA
542456,41.477,45.9606,MTAG
542456,41.477,45.9606,MUGA
542456,41.477,45.9606,VSHA
542205,41.4261,46.001,ALIA
542205,41.4261,46.001,DALI
542205,41.4261,46.001,DDFN
542205,41.4261,46.001,LGDA
542205,41.4261,46.001,LPNA
542205,41.4261,46.001,MTAG
542205,41.4261,46.001,MUGA
542205,41.4261,46.001,TBLG
542205,41.4261,46.001,VSHA
541012,42.489,43.545,GARI
540654,42.5,43.5341,GARI
540653,42.4731,43.527,ALIA
540653,42.4731,43.527,GARI
539870,42.5095,43.5328,AKHA
539870,42.5095,43.5328,ALIA
539870,42.5095,43.5328,GARI
539870,42.5095,43.5328,KHAR
539870,42.5095,43.5328,KHRT
537434,42.51,43.5413,GARI
537433,42.5131,43.5603,ALIA
537433,42.5131,43.5603,GARI
537433,42.5131,43.5603,KHRT
532688,42.1916,45.587,LPNA
532688,42.1916,45.587,MTAG
532688,42.1916,45.587,SHNK
528742,41.9728,45.5766,LPNA
528742,41.9728,45.5766,MTAG
528742,41.9728,45.5766,MUGA
528742,41.9728,45.5766,MZEG
528742,41.9728,45.5766,SHNK
528018,41.8258,44.9323,AKHA
528018,41.8258,44.9323,ALIA
528018,41.8258,44.9323,DSHG
528018,41.8258,44.9323,EMLK
528018,41.8258,44.9323,LPNA
528018,41.8258,44.9323,MTAG
528018,41.8258,44.9323,MUGA
528018,41.8258,44.9323,MZEG
528018,41.8258,44.9323,TBLG
526668,41.222,44.2948,EMLK
526668,41.222,44.2948,TRLT
517516,41.3715,43.9418,AKHA
517516,41.3715,43.9418,EMLK
517516,41.3715,43.9418,MZEG
517516,41.3715,43.9418,TRLT
515080,41.8456,42.226,AKHA
515080,41.8456,42.226,MINA
515080,41.8456,42.226,MZEG
514789,41.8578,42.2276,MZEG
507045,43.2431,41.532,KHAR
500609,41.0696,46.4446,VSHA
500603,41.0858,46.4673,VSHA
499382,41.2055,43.929,AKHA
499369,41.1958,43.9198,AKHA
499369,41.1958,43.9198,TRLT
495549,41.1801,43.918,AKHA
495155,41.3523,45.987,DALI
495155,41.3523,45.987,DDFN
495155,41.3523,45.987,VSHA
494369,41.192,43.9273,AKHA
494369,41.192,43.9273,DDFN
494369,41.192,43.9273,DSHG
494369,41.192,43.9273,LPNA
494369,41.192,43.9273,MUGA
494369,41.192,43.9273,TRLT
489909,41.9211,42.6545,GARI
489909,41.9211,42.6545,KHRT
486007,41.184,43.9203,AKHA
486007,41.184,43.9203,DDFN
486007,41.184,43.9203,EMLK
486007,41.184,43.9203,LPNA
486007,41.184,43.9203,VSHA
486002,41.1665,43.9348,AKHA
486002,41.1665,43.9348,DDFN
486002,41.1665,43.9348,DSHG
486002,41.1665,43.9348,EMLK
486002,41.1665,43.9348,LPNA
486002,41.1665,43.9348,MUGA
486002,41.1665,43.9348,VSHA
481995,41.4333,43.9921,AKHA
481995,41.4333,43.9921,MZEG
475034,41.1465,43.9388,AKHA
475034,41.1465,43.9388,MZEG
468591,41.1861,43.9076,AKHA
468307,41.2022,43.9126,AKHA
468307,41.2022,43.9126,MZEG
468300,41.1936,43.9145,AKHA
468300,41.1936,43.9145,MZEG
459960,42.4575,44.9611,LPNA
459960,42.4575,44.9611,MUGA
459960,42.4575,44.9611,MZEG
456816,42.3006,41.7566,KHMA
456816,42.3006,41.7566,MZEG
453499,42.5666,43.511,GARI
453499,42.5666,43.511,MZEG
430479,41.8223,43.7791,ALIA
426682,41.8745,45.9348,LPNA
407330,41.9861,43.1133,AKHA
407330,41.9861,43.1133,ALIA
407330,41.9861,43.1133,GARI
407330,41.9861,43.1133,MUGA
405693,41.9068,46.21,LPNA
401913,42.5103,43.478,ALIA
401913,42.5103,43.478,GARI
392747,41.2631,46.5263,LPNA
392747,41.2631,46.5263,VSHA
359370,42.489,43.6053,AKHA
359370,42.489,43.6053,ALIA
359370,42.489,43.6053,MUGA
357808,41.867,43.4591,ALIA
345055,42.2638,42.7233,ALIA
326168,41.4681,45.8765,VSHA
299525,41.3975,45.7675,ALIA
294507,42.414,43.7496,ALIA
291758,41.7446,42.9596,ALIA
285756,42.43,40.8753,ALIA
