id,latitude,longitude,station,sta_latitude,sta_longitude
555188,42.395,45.107,MTAG,42.0927,45.1637
555188,42.395,45.107,SHTA,42.6565,45.1529
550384,41.3795,44.0291,AKHA,41.41,43.4929
550384,41.3795,44.0291,EMLK,41.2134,43.952
550384,41.3795,44.0291,TRLT,41.5695,44.1546
545120,41.303,44.2353,EMLK,41.2134,43.952
545120,41.303,44.2353,TRLT,41.5695,44.1546
542456,41.477,45.9606,ALIA,42.1047,43.649
542456,41.477,45.9606,DALI,41.2393,45.8579
542456,41.477,45.9606,DDFN,41.4733,46.1444
542456,41.477,45.9606,EMLK,41.2134,43.952
542456,41.477,45.9606,LGDA,41.8356,46.2395
542456,41.477,45.9606,LPNA,42.0574,45.6003
542456,41.477,45.9606,MTAG,42.0927,45.1637
542456,41.477,45.9606,MUGA,42.2904,44.6421
542456,41.477,45.9606,VSHA,41.2302,46.3998
542205,41.4261,46.001,ALIA,42.1047,43.649
542205,41.4261,46.001,DALI,41.2393,45.8579
542205,41.4261,46.001,DDFN,41.4733,46.1444
542205,41.4261,46.001,LGDA,41.8356,46.2395
542205,41.4261,46.001,LPNA,42.0574,45.6003
542205,41.4261,46.001,MTAG,42.0927,45.1637
542205,41.4261,46.001,MUGA,42.2904,44.6421
542205,41.4261,46.001,TBLG,41.7308,44.7382
542205,41.4261,46.001,VSHA,41.2302,46.3998
541012,42.489,43.545,GARI,42.604,43.4688
540654,42.5,43.5341,GARI,42.604,43.4688
540653,42.4731,43.527,ALIA,42.1047,43.649
540653,42.4731,43.527,GARI,42.604,43.4688
539870,42.5095,43.5328,AKHA,41.41,43.4929
539870,42.5095,43.5328,ALIA,42.1047,43.649
539870,42.5095,43.5328,GARI,42.604,43.4688
539870,42.5095,43.5328,KHAR,42.0163,43.1412
539870,42.5095,43.5328,KHRT,42.3517,43.2191
537434,42.51,43.5413,GARI,42.604,43.4688
537433,42.5131,43.5603,ALIA,42.1047,43.649
537433,42.5131,43.5603,GARI,42.604,43.4688
537433,42.5131,43.5603,KHRT,42.3517,43.2191
532688,42.1916,45.587,LPNA,42.0574,45.6003
532688,42.1916,45.587,MTAG,42.0927,45.1637
532688,42.1916,45.587,SHNK,42.3717,45.6539
528742,41.9728,45.5766,LPNA,42.0574,45.6003
528742,41.9728,45.5766,MTAG,42.0927,45.1637
528742,41.9728,45.5766,MUGA,42.2904,44.6421
528742,41.9728,45.5766,MZEG,41.789,43.534
528742,41.9728,45.5766,SHNK,42.3717,45.6539
528018,41.8258,44.9323,AKHA,41.41,43.4929
528018,41.8258,44.9323,ALIA,42.1047,43.649
528018,41.8258,44.9323,DSHG,42,44.718
528018,41.8258,44.9323,EMLK,41.2134,43.952
528018,41.8258,44.9323,LPNA,42.0574,45.6003
528018,41.8258,44.9323,MTAG,42.0927,45.1637
528018,41.8258,44.9323,MUGA,42.2904,44.6421
528018,41.8258,44.9323,MZEG,41.789,43.534
528018,41.8258,44.9323,TBLG,41.7308,44.7382
526668,41.222,44.2948,EMLK,41.2134,43.952
526668,41.222,44.2948,TRLT,41.5695,44.1546
517516,41.3715,43.9418,AKHA,41.41,43.4929
517516,41.3715,43.9418,EMLK,41.2134,43.952
517516,41.3715,43.9418,MZEG,41.789,43.534
517516,41.3715,43.9418,TRLT,41.5695,44.1546
515080,41.8456,42.226,AKHA,41.41,43.4929
515080,41.8456,42.226,MINA,41.596,43.018
515080,41.8456,42.226,MZEG,41.789,43.534
514789,41.8578,42.2276,MZEG,41.789,43.534
507045,43.2431,41.532,KHAR,42.0163,43.1412
500609,41.0696,46.4446,VSHA,41.2302,46.3998
500603,41.0858,46.4673,VSHA,41.2302,46.3998
499382,41.2055,43.929,AKHA,41.41,43.4929
499369,41.1958,43.9198,AKHA,41.41,43.4929
499369,41.1958,43.9198,TRLT,41.5695,44.1546
495549,41.1801,43.918,AKHA,41.41,43.4929
495155,41.3523,45.987,DALI,41.2393,45.8579
